2977
0	1	0
2	3	1
4	5	1
6	5	1
6	4	2
7	5	1
8	5	1
8	9	2
9	5	1
10	5	1
11	5	1
11	12	2
12	5	1
12	8	2
13	5	1
13	12	2
14	5	1
14	7	2
15	5	1
15	7	2
16	5	1
16	4	2
17	5	1
17	12	2
18	5	1
18	10	2
19	5	1
19	10	2
20	5	1
20	10	2
21	5	1
21	8	2
22	5	1
22	7	2
23	5	1
23	9	2
24	5	1
24	9	2
25	5	1
25	12	2
26	5	1
26	12	2
27	5	1
27	12	2
28	5	1
28	12	2
29	5	1
29	12	2
30	5	1
30	12	2
31	5	1
31	10	2
32	5	1
32	7	2
33	5	1
33	12	2
34	5	1
34	9	2
35	5	1
35	7	2
36	5	1
36	7	2
37	5	1
37	12	2
38	5	1
38	8	2
39	5	1
39	7	2
39	8	2
40	5	1
40	7	2
41	5	1
41	12	2
42	5	1
42	8	2
43	5	1
43	8	2
44	45	1
44	46	3
47	48	1
49	48	1
50	48	1
50	51	4
51	48	1
52	48	1
52	49	4
53	48	1
53	52	4
53	54	4
54	48	1
54	49	4
55	48	1
55	51	4
56	48	1
56	51	4
57	48	1
57	50	4
58	48	1
58	51	4
59	48	1
60	48	1
61	48	1
61	60	4
62	48	1
62	60	4
63	48	1
63	60	4
64	48	1
64	60	4
65	61	1
65	66	5
65	67	6
65	68	7
69	49	1
67	57	1
68	55	1
68	58	1
68	70	8
68	71	9
72	61	1
72	73	5
72	67	6
74	49	1
74	59	1
75	61	1
75	76	5
75	67	6
77	49	1
78	61	1
78	79	5
78	67	6
78	80	10
81	49	1
81	54	1
81	82	11
80	51	1
83	61	1
83	84	5
83	67	6
83	85	12
86	49	1
85	51	1
87	61	1
87	88	5
87	67	6
87	89	13
87	80	10
87	85	12
90	49	1
89	61	1
89	91	5
89	67	6
89	80	10
89	71	14
89	92	15
93	49	1
71	57	1
92	51	1
92	55	1
92	94	8
92	95	9
96	61	1
96	97	5
96	67	6
96	98	16
99	49	1
99	59	1
98	51	1
98	55	1
98	58	1
98	100	8
98	101	9
102	61	1
102	103	5
102	101	6
102	104	14
103	49	1
101	57	1
104	57	1
105	61	1
105	84	5
105	101	6
105	106	16
105	107	14
107	55	1
107	57	1
107	108	8
107	67	9
106	58	1
109	61	1
109	110	5
109	111	6
109	67	10
109	112	10
113	49	1
111	57	1
112	57	1
114	61	1
114	115	5
114	107	6
114	80	10
82	49	1
82	59	1
116	61	1
116	103	5
116	80	6
116	117	10
116	118	12
118	47	1
117	51	1
119	61	1
119	120	5
119	107	6
119	121	12
119	122	16
123	49	1
122	58	1
121	51	1
124	61	1
124	125	5
124	126	6
124	80	10
124	127	12
124	101	14
128	49	1
126	55	1
126	57	1
126	108	8
126	111	9
127	47	1
127	55	1
127	129	8
127	67	9
127	107	9
127	108	9
130	61	1
130	131	5
130	101	6
130	80	10
130	127	12
130	132	12
133	49	1
132	61	1
132	97	5
132	112	6
132	98	16
134	61	1
134	135	5
134	136	17
134	80	6
134	111	14
137	49	1
136	61	1
136	84	5
136	111	6
138	61	1
138	139	5
138	98	6
138	140	16
141	49	1
140	51	1
140	58	1
142	61	1
142	143	5
142	101	6
142	144	13
142	145	12
142	146	14
147	49	1
146	55	1
146	57	1
146	148	8
146	140	9
145	47	1
144	61	1
144	101	18
144	149	5
144	146	6
144	145	12
150	61	1
150	151	19
150	101	6
150	145	12
151	59	1
152	61	1
152	153	19
152	101	6
153	59	1
154	49	1
155	61	1
155	103	5
155	156	6
155	157	20
155	158	14
156	57	1
158	55	1
158	57	1
158	159	8
158	101	9
157	61	1
157	97	5
157	156	6
157	160	16
